Year,Country,Player,Franchise,Base Price USD,Category2,Player Type,T20_Matches,T20_Innings,T20_100s,T20_50s,Highest score_T20,Total Runs_T20,T20 Avg,T20 Strike Rate,T20 Catches,ODI_Matches,ODI_Innings,ODI_100s,ODI_50s,Highest score_ODI,Total Runs_ODI,ODI Avg,ODI Strike Rate,ODI Catches
2017,Away,Rovman Powell,Kolkata Knight Riders,44776,Low,Batsman,0,0,0,0,0,0,0,0,0,4,4,0,0,44,77,19.25,111.59,4
2015,Home,Dinesh Karthik,Royal Challengers Bangalore,3225806,High,Batsman,0,0,0,0,0,0,0,0,0,4,4,0,0,23,50,25,64.1,3
2015,Home,Yuvraj Singh,Delhi Daredevils,322581,High,Batsman,6,5,0,1,60,100,20,98.04,0,18,15,0,2,61,276,"19,71",78.41,9
2014,Home,Cheteshwar Pujara,Kings XI Punjab,241935,Low,Batsman,0,0,0,0,0,0,0,0,0,2,2,0,0,13,13,6.5,46.43,0
2014,Away,David Warner,Sunrisers Hyderabad,241935,High,Batsman,4,4,0,2,90,151,50.33,131.3,2,4,4,0,1,60,83,20.75,67.48,3
2014,Away,Faf Du Plessis,Chennai Super Kings,241935,High,Batsman,8,8,0,2,85,234,39,108.84,4,21,21,0,3,62,539,26.95,79.03,15
2014,Away,George Bailey,Kings XI Punjab,322581,Medium,Batsman,6,6,0,0,45,95,15.83,128.38,2,22,20,2,8,156,1098,64.59,100,11
2014,Away,Jean-Paul Duminy,Delhi Daredevils,161290,Medium,Batsman,6,5,0,2,51,190,63.33,125.33,3,21,21,1,3,150,659,36.61,83.52,7
2014,Away,Kevin Pietersen,Delhi Daredevils,322581,High,Batsman,1,0,0,0,0,0,0,0,0,9,9,0,2,76,256,28.44,83.66,1
2014,Home,Murali Vijay,Delhi Daredevils,322581,High,Batsman,0,0,0,0,0,0,0,0,0,3,2,0,0,30,57,28.5,89.06,2
2014,Away,Nic Maddinson,Royal Challengers Bangalore,80645,Low,Batsman,1,1,0,0,34,34,34,212.5,0,0,0,0,0,0,0,0,0,0
2014,Away,Tanmay Mishra,Royal Challengers Bangalore,16129,Low,Batsman,6,6,0,0,19,40,6.67,76.92,2,4,4,0,2,61,149,74.5,80.98,1
2014,Home,Virender Sehwag,Kings XI Punjab,322581,Medium,Batsman,0,0,0,0,0,0,0,0,0,1,1,0,0,31,31,31,72.09,2
2013,Away,Quinton de Kock,Sunrisers Hyderabad,20000,Low,Batsman,3,3,0,0,28,30,30,111.1,3,0,0,0,0,0,0,0,0,0
2013,Away,Glenn Maxwell,Mumbai Indians,200000,High,Batsman,7,4,0,0,27,39,13,102.63,2,4,4,0,1,56,124,41.33,113.76,1
2013,Away,Jesse Ryder,Delhi Daredevils,100000,Low,Batsman,1,1,0,1,52,52,52,123.81,0,2,2,0,0,6,6,3,42.86,1
2012,Away,Brendon McCullum,Kolkata Knight Riders,400000,High,Batsman,2,2,0,2,81,145,145,174.7,4,17,15,1,2,101,470,39.17,91.62,25
2012,Away,Mahela Jayawardene,Delhi Daredevils,300000,High,Batsman,3,3,0,2,86,169,84.5,129.01,2,27,24,3,7,144,1032,46.91,82.63,16
2012,Home,Parthiv Patel,Sunrisers Hyderabad,200000,Medium,Batsman,2,2,0,0,26,36,18,112.5,1,21,21,0,2,95,491,24.55,81.56,15
2012,Away,Dinesh Chandimal,Rajasthan Royals,50000,Low,Batsman,3,3,0,1,56,80,26.67,121.21,0,13,13,1,1,105,297,24.75,74.44,7
2012,Away,Darren Bravo,Sunrisers Hyderabad,100000,Low,Batsman,3,3,0,0,42,90,30,112.5,0,24,23,0,5,86,637,31.85,69.85,3
2016,Away,Aaron Finch,Gujarat Lions,148148,Low,batsman,0,0,0,0,0,0,0,0,0,16,15,1,4,135,561,40.07,88.35,9
2016,Away,Carlos Brathwaite,Delhi Daredevils,44444,Medium,batsman,1,1,0,0,1,1,1,50,0,6,6,0,0,18,60,10,92.31,2
2016,Away,Farhaan Behardien,Kings XI Punjab,44444,Low,batsman,7,6,0,0,36,109,54.5,115.96,2,20,15,0,2,70,400,40,104,7
2016,Away,Jos Buttler,Mumbai Indians,222222,Medium,batsman,3,3,0,0,33,46,15.33,158.62,1,21,18,2,2,129,642,42.8,119,29
2016,Away,Marcus Stoinis,Kings XI Punjab,44444,Low,batsman,1,1,0,0,10,10,0,125,0,1,1,0,0,4,4,4,80,0
2016,Away,Sam Billings,Delhi Daredevils,44444,Low,batsman,5,5,0,1,53,94,18.8,157,5,5,5,0,0,41,90,22.5,132.5,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
